t,r,y,u,e
22.150000000000002,1.0,0.5230248794886752,0.9995025644980848,0.47697512051132485
22.200000000000003,1.0,0.5238190081358582,0.9995020677985318,0.47618099186414176
22.25,1.0,0.5246118124125281,0.999501574137789,0.4753881875874719
22.3,1.0,0.5254032945310191,0.9995010835070982,0.4745967054689809
22.35,1.0,0.5261934566999635,0.9995005958977222,0.47380654330003646
22.400000000000002,1.0,0.5269823011242986,0.9995001113009445,0.47301769887570144
22.450000000000003,1.0,0.5277698300052716,0.999499629708069,0.47223016999472844
22.5,1.0,0.5285560455404468,0.9994991511104206,0.4714439544595532
22.55,1.0,0.5293409499237116,0.9994986754993447,0.4706590500762884
22.6,1.0,0.5301245453452824,0.9994982028662069,0.4698754546547176
22.650000000000002,1.0,0.5309068339917109,0.999497733202394,0.4690931660082891
22.700000000000003,1.0,0.5316878180458903,0.9994972664993127,0.46831218195410973
22.75,1.0,0.5324674996870611,0.9994968027483901,0.4675325003129389
22.8,1.0,0.5332458810908177,0.9994963419410742,0.4667541189091823
22.85,1.0,0.5340229644291145,0.9994958840688328,0.46597703557088554
22.900000000000002,1.0,0.5347987518702711,0.9994954291231543,0.46520124812972885
22.950000000000003,1.0,0.5355732455789799,0.9994949770955471,0.4644267544210201
23.0,1.0,0.5363464477163108,0.9994945279775401,0.4636535522836892
23.05,1.0,0.5371183604397181,0.999494081760682,0.46288163956028194
23.1,1.0,0.5378889859030461,0.9994936384365418,0.4621110140969539
23.150000000000002,1.0,0.5386583262565355,0.9994931979967087,0.46134167374346446
23.200000000000003,1.0,0.5394263836468293,0.9994927604327917,0.46057361635317073
23.25,1.0,0.5401931602169786,0.9994923257364199,0.4598068397830214
23.3,1.0,0.540958658106449,0.9994918938992422,0.45904134189355095
23.35,1.0,0.5417228794511265,0.9994914649129276,0.4582771205488735
23.400000000000002,1.0,0.5424858263833232,0.9994910387691649,0.4575141736166768
23.450000000000003,1.0,0.5432475010317838,0.9994906154596627,0.45675249896821624
23.5,1.0,0.5440079055216911,0.9994901949761491,0.4559920944783089
23.55,1.0,0.5447670419746722,0.9994897773103723,0.4552329580253278
23.6,1.0,0.5455249125088045,0.9994893624541,0.4544750874911955
23.650000000000002,1.0,0.5462815192386217,0.9994889503991197,0.45371848076137833
23.700000000000003,1.0,0.5470368642751193,0.9994885411372382,0.45296313572488067
23.75,1.0,0.5477909497257613,0.999488134660282,0.45220905027423874
23.8,1.0,0.5485437776944851,0.9994877309600971,0.45145622230551485
23.85,1.0,0.5492953502817086,0.9994873300285491,0.4507046497182914
23.900000000000002,1.0,0.550045669584335,0.9994869318575227,0.449954330415665
23.950000000000003,1.0,0.5507947376957593,0.9994865364389224,0.44920526230424074
24.0,1.0,0.5515425567058742,0.9994861437646718,0.44845744329412585
